"country","gdp","population","export","import"
"Cote d'Ivoire",45815005169.2651,23596741,397.22,572.47
"Cote d'Ivoire",48407761036.8238,24213622,418.59,455.81
"Cote d'Ivoire",52512343996.69,24848016,511.68,441.71
"Cote d'Ivoire",58522477786.6889,25493988,448.52,603.04
"Cote d'Ivoire",60382894697.3557,26147551,414.59,454.9
"Cote d'Ivoire",63027852805.4204,26811790,585.89,317.51
"Cote d'Ivoire",72794636653.7793,27478249,728.5,468.8
"Croatia",58836405998.5311,4295427,97.68,28.06
"Croatia",62772620898.6471,4280622,114.61,24.03
"Croatia",57411354937.6808,4267558,133.9,18.07
"Croatia",59589170667.5698,4255689,139.1,9.73
"Croatia",59489433514.5849,4238389,176.35,28.63
"Croatia",51011170111.8487,4203604,112.39,35.99
"Croatia",52740059263.4245,4174349,124.1,25.31
"Croatia",56322449844.1579,4124531,168.63,32.01
"Croatia",61861145806.2687,4087843,153.7,38.88
"Croatia",61867157679.3215,4065253,146.88,57.17
"Croatia",58221300897.8838,4047680,141.85,42.78
"Croatia",69602166351.4771,3878981,493.12,59.41
"Cuba",59562962962.963,11290417,25.52,1.11
"Cuba",6.899e+10,11298710,36.67,3.99
"Cuba",7.3141e+10,11309290,35.79,3.95
"Cuba",7.7148e+10,11321579,35.5,2.39
"Cuba",80656100000,11332026,37.32,1.57
"Cuba",87132800000,11339894,54.28,1.34
"Cuba",91370407863.7,11342012,41.77,1.31
"Cuba",96850649691.7406,11336405,41.75,2.05
"Cuba",100050036096.123,11328244,34.99,3.79
"Cuba",103427600000,11316697,47.5,3.53
"Cuba",107351800000,11300698,20.3,69.45
"Cyprus",25799940416.2212,1129686,43.27,20.37
"Cyprus",27641551807.2994,1145086,56.57,27.59
"Cyprus",25047433100.1301,1156556,54.92,21.28
"Cyprus",23959708956.3563,1166968,61.52,20.29
"Cyprus",23225912184.5047,1176995,51.03,22.81
"Cyprus",19909269064.1204,1187280,59.76,48.17
"Cyprus",21046452116.3809,1197881,71.68,66.57
"Cyprus",22946583374.7569,1208523,99.87,13.43
"Cyprus",25597301190.9231,1218831,70.59,393.76
"Cyprus",25947020102.4332,1228836,443.23,74.43
"Cyprus",25227189744.9083,1237537,90.09,23.94
"Cyprus",29482912835.3642,1244188,139.8,74.34
"Czechia",209069940963.177,10474410,215.71,676.69
"Czechia",229562733398.948,10496088,271.79,718.8
"Czechia",208857719320.649,10510785,251.3,644.21
"Czechia",211685616592.931,10514272,387.02,517.9
"Czechia",209358834156.329,10525347,378.51,517.78
"Czechia",188033050459.881,10546059,488.48,507.78
"Czechia",196272068576.338,10566332,533.07,539.2
"Czechia",218628940951.675,10594438,405.25,669.45
"Czechia",249000540729.179,10629928,429.04,258.75
"Czechia",252548179964.897,10671870,496.27,299.38
"Czechia",245974558654.043,10697858,485.39,393.06
"Czechia",281791218507.1,10505772,628.13,592.03
"Denmark",321995279401.502,5547683,690.63,472.72
"Denmark",344003137611.271,5570572,757.4,614.16
"Denmark",327148943812.137,5591572,707.14,541.65
"Denmark",343584391647.927,5614932,761.68,445.02
"Denmark",352993631617.708,5643475,724.11,457.86
"Denmark",302673070846.857,5683483,688.67,428.44
"Denmark",313115929314.339,5728010,692.84,481.5
"Denmark",332121063806.391,5764980,783.94,564.47
"Denmark",356841216410.068,5793636,746.47,537.19
"Denmark",346498737961.635,5814422,733.87,632.26
"Denmark",354762748338.661,5831404,755.15,589.05
"Denmark",405687998852.691,5856733,943.99,888.65
"Djibouti",1128611700.3618,919199,319.82,2.4
"Djibouti",1239144501.77525,936811,475.27,2.16
"Djibouti",1353632941.5207,954297,411.8,5.18
"Djibouti",2042817162.85639,971753,307,4.16
"Djibouti",2214679081.25658,989087,237.89,1.48
"Djibouti",2424391785.43897,1006259,204.51,1.22
"Djibouti",2604955228.70117,1023261,280.37,2.84
"Djibouti",2762581334.22612,1040233,376.4,5.46
"Djibouti",2913466732.12507,1057198,790.56,15.84
"Djibouti",3088853638.56832,1073994,315.92,19.54
"Djibouti",3185150981.03207,1090156,347.05,20.16
"Djibouti",3385825228.86997,1105557,713.22,41.68
"Dominica",493825925.925926,68755,2.45,0.35
"Dominica",501025925.925926,68742,2.78,0.26
"Dominica",485996296.296296,68888,2.39,1.58
"Dominica",498296296.296296,68819,2.36,0.06
"Dominica",520429629.62963,69371,2.52,0.11
"Dominica",540737037.037037,70007,1.46,0.1
"Dominica",576229629.62963,70075,2.43,0.78
"Dominica",521551851.851852,70403,2.06,0.28
"Dominica",554770370.37037,70823,1.26,0.32
"Dominica",611537037.037037,71428,2.15,0.25
"Dominica",504214814.814815,71995,1.83,0.24
"Dominica",555266666.666667,72412,2.77,0.2
"Dominican Republic",53860187257.9593,9775755,82.67,15.77
"Dominican Republic",58029773599.455,9903737,103.37,6.59
"Dominican Republic",60681535652.5373,10030882,108.82,10.8
"Dominican Republic",62682159338.0354,10157051,125.67,12.5
"Dominican Republic",67179955677.2791,10282115,140.86,290.64
"Dominican Republic",71164826836.5281,10405832,174.93,478.61
"Dominican Republic",75704647877.6559,10527592,224.93,674.85
"Dominican Republic",79998046305.79,10647244,196.9,645.81
"Dominican Republic",85555390139.118,10765531,215.71,566.56
"Dominican Republic",88941372558.2397,10881882,213.26,361.11
"Dominican Republic",78844656298.1776,10999664,208.97,256.92
"Dominican Republic",94243425938.3647,11117873,309.98,648.77
"Ecuador",68151329000,14989585,121.41,169.12
"Ecuador",78986648000,15237728,231.49,44.28
"Ecuador",87735048000,15483883,263.55,872.55
"Ecuador",96570334000,15722989,290.32,255.4
"Ecuador",102717794000,15957994,224.98,1065.73
"Ecuador",97209558000,16195902,153.2,563.75
"Ecuador",97671433000,16439585,197.68,355.99
"Ecuador",104467486000,16696944,279.73,193.96
"Ecuador",107478962000,17015672,297.88,219.24
"Ecuador",107595829000,17343740,252.94,361.58
"Ecuador",95865472000,17588595,207.8,333.28
"Ecuador",107435101000,17797737,304.77,1012.39
"Egypt, Arab Rep.",218983666061.706,87252413,1982.29,1354.5
"Egypt, Arab Rep.",235989672977.625,89200054,2421.75,3002.36
"Egypt, Arab Rep.",279116666666.667,91240376,2897.19,2553.48
"Egypt, Arab Rep.",288434108527.132,93377890,2561.97,2388.92
"Egypt, Arab Rep.",305595408895.265,95592324,3025.41,1741.76
"Egypt, Arab Rep.",329366576819.407,97723799,2337.53,1221.17
"Egypt, Arab Rep.",332441717791.411,99784030,2067.18,1163.73
"Egypt, Arab Rep.",248362771739.13,101789386,2392.16,1292.92
"Egypt, Arab Rep.",262588632526.73,103740765,2886.19,1677.8
"Egypt, Arab Rep.",318678815489.749,105618671,2504.04,2031.37
"Egypt, Arab Rep.",383817841547.099,107465134,2264.24,1892.34
"Egypt, Arab Rep.",424671765455.704,109262178,3743.71,3520.82
"El Salvador",18447920000,6114034,24.01,5.39
"El Salvador",20283780000,6137349,37.48,8.28
"El Salvador",21386150000,6161289,56.01,8.65
"El Salvador",21990960000,6185642,65.1,8
"El Salvador",22593470000,6209526,61.44,10.26
"El Salvador",23438240000,6231066,68.53,6.17
"El Salvador",24191430000,6250510,60.36,5.77
"El Salvador",24979190000,6266654,69.38,9
"El Salvador",26020850000,6276342,78.65,4.22
"El Salvador",26881140000,6280217,79.28,3.2
"El Salvador",24921190000,6292731,84.09,3.8
"El Salvador",29043140000,6314167,162.02,4.12
"Equatorial Guinea",16314443436.2903,1094524,11.44,0.13
"Equatorial Guinea",21357343668.9447,1144588,17.12,206.02
"Equatorial Guinea",22388344143.9131,1193636,21.25,524.82
"Equatorial Guinea",21948834283.7856,1243941,17.22,301.82
"Equatorial Guinea",21765453081.9826,1295183,15.01,749.39
"Equatorial Guinea",13185496881.0174,1346973,17.49,457.29
"Equatorial Guinea",11240808847.8878,1398927,11.24,797.86
"Equatorial Guinea",12200913878.9827,1450694,10.74,755.64
"Equatorial Guinea",13097012133.6159,1502091,11.84,634.11
"Equatorial Guinea",11364133549.7478,1553031,10.88,972.89
"Equatorial Guinea",9893816007.7398,1596049,14.16,286.79
"Equatorial Guinea",12215878032.7166,1634466,12.39,885.55
"Eritrea",1589515447.15447,3147727,24.49,0.76
"Eritrea",2065001626.01626,3207570,31.52,3.63
"Estonia",19523477325.6235,1331475,52.87,44.91
"Estonia",23213994093.4631,1327439,116.5,231.73
"Estonia",23019150071.1867,1322696,91.88,219.9
"Estonia",25115753366.1114,1317997,79.1,115.3
"Estonia",26634083965.0987,1314545,68.01,118.06
"Estonia",22890762090.1508,1315407,63.64,142.04
"Estonia",24072829276.7744,1315790,97.44,102.45
"Estonia",26924385103.0659,1317384,80.28,60.51
"Estonia",30624720196.229,1321977,64.28,108.19
"Estonia",31290453293.545,1326898,65.39,54
"Estonia",31330419851.1487,1329522,51.81,59.93
"Estonia",36864792511.6351,1330932,62.02,72.29
"Eswatini",4438765085.93784,1099920,86.86,109.47
"Eswatini",4820478680.18375,1105371,22.89,45.97
"Eswatini",4886551483.93374,1111444,47.23,70.69
"Eswatini",4597552981.56738,1118319,22.76,124.63
"Eswatini",4422986271.74767,1125865,39.92,22.01
"Eswatini",4063245671.29285,1133936,59.86,40.79
"Eswatini",3816019193.16561,1142524,39.56,39.2
"Eswatini",4402969225.92165,1151390,32.65,8.9
"Eswatini",4666598024.18411,1160428,19.15,9.59
"Eswatini",4495267265.76464,1169613,18.52,7.01
"Eswatini",3982236693.8316,1180655,24.25,50.88
"Eswatini",4850842540.99267,1192271,26.8,234.99
"Ethiopia",29933790334.3418,89237791,273.61,32.73
"Ethiopia",31952763089.33,91817929,464.06,29.23
"Ethiopia",43310721414.0829,94451280,748.73,38.55
"Ethiopia",47648276605.0123,97084366,816.82,28.38
"Ethiopia",55612228233.5179,99746766,782.96,44.28
"Ethiopia",64589328550.5953,102471895,793.49,60.99
"Ethiopia",74296745207.8721,105293228,773.38,67.05
"Ethiopia",81770886825.6048,108197950,683.73,47.45
"Ethiopia",84269196625.8784,111129438,765.91,55
"Ethiopia",95912607722.3032,114120594,798.13,98.54
"Ethiopia",107657734392.446,117190911,684.2,32.65
"Ethiopia",111261882958.426,120283026,681.15,62.44
"Faroe Islands",2331796784.36009,48410,0.74,7.36
"Faroe Islands",2505740669.27039,48386,0.85,0.04
"Faroe Islands",2427200388.91831,48392,1.45,0
"Faroe Islands",2690110520.92548,48418,3.07,0
"Faroe Islands",2914012679.27277,48465,2.63,0.07
"Faroe Islands",2573905971.05459,48816,1.75,0.04
"Faroe Islands",2813278868.78208,49500,0.58,0
"Faroe Islands",2980057377.87967,50230,0.3,0.01
"Faroe Islands",3188600927.46688,50955,2.96,0.03
"Faroe Islands",3266432734.22819,51681,0.91,0
"Fiji",3140166712.79624,905169,28.44,2.99
"Fiji",3779411899.37483,908355,36.69,2.52
"Fiji",3972028104.47328,911059,40.93,1.38
"Fiji",4189967998.51424,913453,48.66,2
"Fiji",4857104768.86844,915560,49.6,1.8
"Fiji",4682479893.97558,917200,44.06,0.36
"Fiji",4930213644.36653,918371,52.42,0.59
"Fiji",5353469174.47838,919019,54.15,0.49
"Fiji",5581425327.44397,918996,60.69,0.71
"Fiji",5444407198.13478,918465,55.63,0.57
"Fiji",4432466219.87685,920422,46.8,1.32
"Fiji",4305031649.74189,924610,57.92,0.48
"Finland",249424310816.667,5363352,254.83,1652.93
"Finland",275604356167.316,5388272,314.23,2103.42
"Finland",258290060227.734,5413971,317.17,1106.79
"Finland",271362405890.589,5438972,415.31,1054.02
"Finland",274862826772.156,5461512,330.1,917.43
"Finland",234534382384.766,5479531,248.38,1002.31
"Finland",240771351298.833,5495303,269.65,1011.6
"Finland",255647979916.471,5508214,282.48,1401.26
"Finland",275708001767.843,5515525,256.07,1124.02
"Finland",268514916972.549,5521606,268.56,625.57
"Finland",271886077382.102,5529543,284.29,713.13
"Finland",296470417085.267,5541017,344.28,876.22
"France",2645187882116.67,65030575,5209.35,3704.35
"France",2865157541994.17,65345233,4557.93,4332.52
"France",2683671716967.19,65662240,4985.81,4652.17
"France",2811876903329.03,66002289,5108.08,3691.67
"France",2855964488590.19,66312067,4956.49,4415.89
"France",2439188643162.5,66548272,4633.2,3730.12
"France",2472964344587.17,66724104,5249.79,5707.58
"France",2595151045197.65,66918020,4900.1,6523.95
"France",2790956878746.66,67158348,5232.35,6665.48
"France",2728870246705.88,67388001,5097.62,6168.64
"France",2647418691598.45,67571107,4781.97,4342.99
"France",2959355819170.5,67764304,6640.7,5781.93
"Gabon",14372593020.2885,1711105,37.56,307.72
"Gabon",18210307743.5816,1772500,47,146.56
"Gabon",17170464016.0593,1836705,54.15,817.05
"Gabon",17595744798.3398,1902226,52.55,868.46
"Gabon",18203966895.8433,1966855,42.7,793.05
"Gabon",14383107762.6952,2028517,36.76,105.62
"Gabon",14023890265.3665,2086206,43.28,69.47
"Gabon",14929487485.1623,2140215,45,395.39
"Gabon",16867326389.8704,2192012,55.09,456.01
"Gabon",16874405460.1955,2242785,45.49,138.39
"Gabon",15314577167.8211,2292573,58.59,405.47
"Gabon",20217946921.2065,2341179,52.9,1070.5
"Gambia, The",1543294926.87301,1937275,41.61,14.73
"Gambia, The",1409693596.93594,1998212,64.17,40.16
"Gambia, The",1415004738.26621,2061014,55.52,30.31
"Gambia, The",1375609453.43746,2124869,85.12,29.2
"Gambia, The",1229461721.40861,2189019,73.52,36.08
"Gambia, The",1378176608.93204,2253133,59.49,31.36
"Gambia, The",1484578885.97132,2317206,62.36,43.2
"Gambia, The",1504909462.69521,2381182,120.15,58.66
"Gambia, The",1670671327.81651,2444916,156.56,45.05
"Gambia, The",1813609692.49994,2508883,132.27,40.97
"Gambia, The",1812170891.19069,2573995,129.53,38.39
"Gambia, The",2014158842.65394,2639916,153.17,43.49
"Georgia",12426907967.1578,3786695,72.8,37.85
"Georgia",15475290469.2869,3756441,121.64,58.9
"Georgia",16894392033.2256,3728874,124.1,57.54
"Georgia",17517660143.6859,3717668,91.24,23.79
"Georgia",17966015109.3043,3719414,86.65,18.37
"Georgia",15223796148.8396,3725276,82.53,24.45
"Georgia",15444548901.9637,3727505,90.85,31.49
"Georgia",16473125375.0684,3728004,77.25,27.05
"Georgia",17902544880.6471,3726549,110.38,22.18
"Georgia",17638337116.9126,3720161,82.73,11.39
"Georgia",16010869215.68,3722716,99.28,86.88
"Georgia",18853115588.8106,3708610,163.83,196.64
"Germany",3399667820000.01,81776930,6750.9,11891.07
"Germany",3749314991050.59,80274983,7942.53,15600.77
"Germany",3527143188785.16,80425823,7245.91,14325.49
"Germany",3733804649549.03,80645605,7515.55,12932.13
"Germany",3889093051023.52,80982500,7537.06,12787.59
"Germany",3357585719351.56,81686611,7092.58,12088.07
"Germany",3469853463945.53,82348669,7181.25,11583.37
"Germany",3690849152517.65,82657002,8687.49,13295.38
"Germany",3974443355019.6,82905782,8902.18,15160.77
"Germany",3889177589254.9,83092962,8290.63,13690.84
"Germany",3887727161914.41,83160871,8124.66,13642.73
"Germany",4278503934689.85,83196078,9883.07,14967.86
"Ghana",32197655566.5347,25574719,579.67,159.73
"Ghana",39336668080.559,26205941,800.24,341.04
"Ghana",41271701060.954,26858762,744.01,277.59
"Ghana",62824629066.0408,27525597,831.28,370.56
"Ghana",54783319817.3705,28196358,680.31,1257.59
"Ghana",49406010054.2663,28870939,623.59,2981.27
"Ghana",56164929304.8754,29554303,680.85,1938.53
"Ghana",60405924078.7278,30222262,635.71,2710.05
"Ghana",67298914624.3723,30870641,717.14,3763.39
"Ghana",68337969247.7067,31522290,617.22,1773.55
"Ghana",70043095503.6675,32180401,862.31,1374.97
"Ghana",79524421861.2743,32833031,1109.23,1497.76
"Greece",297124961971.501,11121341,364.77,93.35
"Greece",282995942006.557,11104899,789.97,110.89
"Greece",242029307133.408,11045011,300.02,111.85
"Greece",238907690051.13,10965211,335.04,109.37
"Greece",235458133124.608,10892413,360.78,127.73
"Greece",195683527003.375,10820883,335.61,110.98
"Greece",193148146586.933,10775971,381.04,121.9
"Greece",199844406013.531,10754679,433.78,96.06
"Greece",212049447242.111,10732882,503.26,143.97
"Greece",205252760889.364,10721582,445.51,123.69
"Greece",188480337285.605,10698599,546.19,143.01
"Greece",214667807441.202,10569207,1077.35,299.92
"Greenland",2503167187.49305,56905,0.11,0.04
"Greenland",2684461375.46585,56890,0.27,0.02
"Greenland",2609678486.36749,56810,0.47,0.05
"Greenland",2684946990.12448,56483,1.72,0
"Greenland",2842065708.35962,56295,1.13,0.07
"Greenland",2499113022.81675,56114,8.81,0.11
"Greenland",2707139544.46695,56186,0,0.1
"Greenland",2851613679.03433,56172,0.01,0.01
"Greenland",3055782146.15957,56023,0,0
"Greenland",3082884653.2456,56367,1.09,0.02
"Greenland",3235809504.29871,56653,1.4,0
"Grenada",771014814.814815,114039,1,0.01
"Grenada",778655555.555555,114918,1.01,0.03
"Grenada",799881481.481481,115912,0.84,0
"Grenada",842618518.518518,116945,1.45,0
"Grenada",911496296.296296,117972,1.32,0
"Grenada",1061640740.74074,119966,3.01,0.06
"Grenada",1125685185.18519,120921,2.61,0.27
"Grenada",1166514814.81481,121838,3.73,0.46
"Grenada",1213485185.18519,122724,2.77,0.48
"Grenada",1043411111.11111,123663,2.85,0.45
"Grenada",1122800000,124610,3.94,0.73
"Guam",4.949e+09,164905,1.84,0.05
"Guam",4.984e+09,165649,1.92,0.01
"Guam",5.265e+09,166392,1,0
"Guam",5.399e+09,167054,0.27,0
"Guam",5.61e+09,167543,0.42,0
"Guam",5.799e+09,167978,0.37,0
"Guam",6.051e+09,168678,0.65,0
"Guam",6.355e+09,168624,0.91,0
"Guam",5.916e+09,169231,0.72,0.03
"Guam",6.234e+09,170534,1.67,0.11
"Guatemala",40676578423.4871,14259687,112.64,40.19
"Guatemala",46876006272.2387,14521515,191.22,6.71
"Guatemala",49593929487.1263,14781942,224.51,8.31
"Guatemala",52996446269.442,15043981,212.32,13.12
"Guatemala",57852153058.502,15306316,228.96,17.11
"Guatemala",62186064718.7424,15567419,255.88,12.52
"Guatemala",66053403469.0024,15827690,241.17,21.69
"Guatemala",71653754066.2763,16087418,291.84,15.96
"Guatemala",73328365862.4329,16346950,305.26,16.3
"Guatemala",77172317258.6478,16604026,291.24,22.94
"Guatemala",77715183063.2054,16858333,331.25,20.76
"Guatemala",86053083476.0294,17109746,552.02,21.08
"Guinea",6853467832.49407,10270728,96.38,103.2
"Guinea",6785137215.55736,10527712,131.88,262.19
"Guinea",7638045226.04416,10788692,205.98,527.83
"Guinea",8376613880.84932,11055430,203.39,194.4
"Guinea",8778473643.31852,11333365,283.71,729.68
"Guinea",8794202394.29076,11625998,278.3,370.05
"Guinea",8595955600.36601,11930985,354.89,279.2
"Guinea",10324668271.1032,12240789,377.87,514.64
"Guinea",11857030367.2441,12554864,404.73,414.27
"Guinea",13442861496.4128,12877539,354.7,416.31
"Guinea",14177835841.3923,13205153,501.67,1631.01
"Guinea",16091817842.1318,13531906,561.39,3616.54
"Guinea-Bissau",940112538.964179,1567220,3.06,59.46
"Guinea-Bissau",1157074319.11175,1609017,12.38,235.63
"Guinea-Bissau",1049412177.07573,1652717,10.89,140.2
"Guinea-Bissau",1109682824.13676,1697753,19.02,109.68
"Guinea-Bissau",1135250721.02484,1743309,9.75,158.38
"Guinea-Bissau",1152384166.79638,1788919,14.46,198.17
"Guinea-Bissau",1245074264.10396,1834552,21.66,215.67
"Guinea-Bissau",1469978606.12143,1879826,10.66,256.21
"Guinea-Bissau",1554133593.91699,1924955,10.71,123.79
"Guinea-Bissau",1486476582.06759,1970457,8.96,124.54
"Guinea-Bissau",1520479984.56808,2015828,18.08,127
"Guinea-Bissau",1724555634.36594,2060721,10.6,174.34
"Guyana",3432912516.92427,747932,15.99,9.24
"Guyana",3691384317.52178,744230,21.45,8.99
"Guyana",4063088535.76331,743966,21.87,4.58
"Guyana",4167800928.83553,747420,24.09,7.29
"Guyana",4127660151.8087,751115,24.37,10.3
"Guyana",4279840193.7046,755031,21.8,18.48
"Guyana",4482697336.56174,759087,20,14.48
"Guyana",4748174334.14044,763252,26.01,6.6
"Guyana",4787636997.85343,785514,29.62,6.41
"Guyana",5173760191.84652,798753,25.13,6.94
"Guyana",5471256594.72422,797202,35.62,11.26
"Guyana",8041362110.31175,804567,66.37,156.95
"Haiti",11859312725.1448,9842880,60.51,1.33
"Haiti",13008746038.8867,9954312,48.28,1.97
"Haiti",13708925477.1304,10108539,63.7,1.32
"Haiti",14902488604.2421,10261206,59.21,0.96
"Haiti",15146883497.6331,10412740,85.39,1.57
"Haiti",14849629308.6025,10563757,62.26,3.27
"Haiti",14069277526.2278,10713849,71.41,3.6
"Haiti",15093357161.1498,10863543,93.98,8.25
"Haiti",16403864617.8458,11012421,79.36,13.75
"Haiti",15016090929.5125,11160438,65.43,13.92
"Haiti",14508222518.3018,11306801,107.58,13.47
"Haiti",20877414952.6375,11447569,99.45,21.87
"Honduras",15839344591.9842,8450933,63.05,1.43
"Honduras",17710275685.4074,8622504,91.64,7.76
"Honduras",18528554397.5695,8792367,109.94,17.78
"Honduras",18499729214.904,8960657,107.89,22.58
"Honduras",19756533971.8698,9127846,187.51,25.3
"Honduras",20979791685.416,9294505,155.01,15.9
"Honduras",21717604952.1835,9460798,134.94,22.16
"Honduras",23136247990.5977,9626842,146.13,13.31
"Honduras",24067750760.499,9792850,166.68,18.25
"Honduras",24882225741.8119,9958829,185.27,19.29
"Honduras",23352232483.755,10121763,163.34,12.55
"Honduras",28144331506.6149,10278345,317.84,21.1
"Hong Kong SAR, China",228638668727.291,7024200,10320.1,9415.22
"Hong Kong SAR, China",248513617677.287,7071600,12931.71,10408.56
"Hong Kong SAR, China",262628865879.697,7150100,12279.01,7907.01
"Hong Kong SAR, China",275696879834.966,7178900,12731.55,7322.05
"Hong Kong SAR, China",291459995978.893,7229500,13599.74,5571.79
"Hong Kong SAR, China",309385622601.348,7291300,12092.16,6051.48
"Hong Kong SAR, China",320860317562.562,7336600,14047.13,8204.01
"Hong Kong SAR, China",341273289534.466,7393200,14690.11,10675.83
"Hong Kong SAR, China",361731070995.726,7452600,13001.84,17986.79
"Hong Kong SAR, China",363074545072.389,7507900,10966.97,16935.11
"Hong Kong SAR, China",344943149590.058,7481000,10162.24,15172.63
"Hong Kong SAR, China",368954169748.818,7413100,10984.68,19096.37
"Hungary",132175349953.713,10000023,212.74,342.91
"Hungary",141942264554.475,9971727,315.95,437.18
"Hungary",128814279315.132,9920362,323.73,262.89
"Hungary",135684315697.713,9893082,343.59,220.46
"Hungary",141033843265.669,9866468,349.19,239.48
"Hungary",125174166987.372,9843028,345.04,242.64
"Hungary",128609822750.039,9814023,406.19,218.7
"Hungary",143112196040.326,9787966,402.66,270.78
"Hungary",160565642983.587,9775564,458.03,241.09
"Hungary",164020460331.659,9771141,423.92,187.64
"Hungary",157288955508.176,9750149,495.16,218.86
"Hungary",182109999477.691,9709891,550.78,293.65
"Iceland",13751161917.7398,318041,84.31,4.62
"Iceland",15221622925.9319,319014,33.99,4.7
"Iceland",14751508133.5443,320716,25.89,2.2
"Iceland",16125060515.3117,323764,19.84,6.61
"Iceland",17867662177.8911,327386,19.91,4.69
"Iceland",17517210519.0912,330815,18.5,4.25
"Iceland",20793168030.9524,335439,16.72,4.66
"Iceland",24728285177.4603,343400,5.84,7.41
"Iceland",26260850582.0687,352721,30.77,8.63
"Iceland",24681343649.2952,360563,10,10.41
"Iceland",21629953194.0659,366463,10.9,6.22
"Iceland",25797870984.2963,372520,11.79,5.72
"Indonesia",755094157621.936,244016173,5700.58,9918.51
"Indonesia",892969104563.171,247099697,6677.78,14765.85
"Indonesia",917869913332.649,250222695,5331.09,14879.37
"Indonesia",912524136718.018,253275918,4850.05,14748.2
"Indonesia",890814755533.537,256229761,4043.09,15004.54
"Indonesia",860854232686.214,259091970,2819.28,13131.79
"Indonesia",931877364037.698,261850182,3487.98,13427.89
"Indonesia",1015618744159.73,264498852,3963.59,16438.69
"Indonesia",1042271532988.63,267066843,5275.4,15849.56
"Indonesia",1119099871350.2,269582878,4129.13,15061.77
"Indonesia",1059054842698.48,271857970,5026.04,12470.07
"Indonesia",1186509691086.73,273753191,8471.32,17702.71
"Iran, Islamic Rep.",486807616876.696,75373855,2492.79,10928.14
"Iran, Islamic Rep.",626133112195.926,76342971,2411.16,13790.13
"Iran, Islamic Rep.",644035512181.483,77324451,3350.97,11594.42
"Iran, Islamic Rep.",492775566425.881,78458928,4971.15,10307.14
"Iran, Islamic Rep.",460382791480.428,79961672,4174.9,8954.99
"Iran, Islamic Rep.",408212917874.964,81790841,2781.41,6278.71
"Iran, Islamic Rep.",457954614593.746,83306231,2379.44,10506.49
"Iran, Islamic Rep.",486630147094.486,84505076,2652.26,11111.54
"Iran, Islamic Rep.",329691934142.938,85617562,3510.87,13525.63
"Iran, Islamic Rep.",283649531542.741,86564202,3373.53,1397.27
"Iran, Islamic Rep.",239735486745.385,87290193,1774.63,331.47
"Iran, Islamic Rep.",359096907772.273,87923432,1451.05,463.37
"Iraq",138516722649.573,31264875,678.08,9008.31
"Iraq",185749664444.444,32378061,763.89,18918.45
"Iraq",218002476129.472,33864447,1278.07,19247.29
"Iraq",234637675128.645,35481800,917.96,18520.85
"Iraq",228415656174.957,36746488,829.23,14247.66
"Iraq",166774104959.102,37757813,1004.3,10837.57
"Iraq",166743557747.671,38697943,1111.37,11707.94
"Iraq",187217660050.676,39621162,1462.17,17615.79
"Iraq",227367469034.031,40590700,1788.54,22372.46
"Iraq",233636097800.338,41563520,1878.08,23740.16
"Iraq",180898797936.279,42556984,1498.88,14287.08
"Iraq",209691945713.103,43533592,2403.18,31927.05
"Ireland",221913560882.367,4560155,270.29,259.2
"Ireland",239170638711.314,4580084,380.18,411.31
"Ireland",225118718207.156,4599533,386.63,497.11
"Ireland",238112475390.796,4623816,413.97,558.33
"Ireland",259681883575.706,4657740,759.37,533.14
"Ireland",292364226871.756,4701957,525.73,551.44
"Ireland",298559265006.398,4755335,485.2,525.81
"Ireland",337241811320.896,4807388,536,795
"Ireland",386693357874.056,4867316,530.49,422.47
"Ireland",398933010007.356,4934340,533.58,604.11
"Ireland",428608687830.239,4985382,563.13,414.42
"Ireland",513391778882.86,5033164,687.8,1135.74
"Israel",238364092298.023,7623600,2919.59,2253.45
"Israel",266791854430.897,7765800,4040.37,2635.25
"Israel",262282344091.849,7910500,3739.56,2356.56
"Israel",297732778479.129,8059500,3746.82,2311.49
"Israel",314330061977.263,8215700,3289.71,2327.94
"Israel",303414276832.04,8380100,2821.02,2095.27
"Israel",322102790386.835,8546000,3086.96,1961.04
"Israel",358245427458.541,8713300,3363.88,2066.46
"Israel",376691526553.276,8882800,3717.81,1931.48
"Israel",402470513619.148,9054000,3362.94,1592.6
"Israel",413267669231.522,9215100,2701.32,1960.05
"Israel",488526545878.891,9371400,4796.03,3073.72
"Italy",2136099955236.67,59277417,4551.35,4255.73
"Italy",2294994296589.5,59379449,4882.88,5121.45
"Italy",2086957656821.6,59539717,4372.25,4711.04
"Italy",2141924094298.56,60233948,5272.59,4156.34
"Italy",2162009615996.54,60789140,5092.05,4231.6
"Italy",1836637711060.55,60730582,4217.49,4071.92
"Italy",1877071687633.78,60627498,4901.97,3894.8
"Italy",1961796197354.36,60536709,5709.65,4706.61
"Italy",2091932426266.98,60421760,5593.2,5292.11
"Italy",2011302198827.45,59729081,4970.58,4490.66
"Italy",1897461635591.91,59438851,4735.57,3861.83
"Italy",2154875493744.93,59133173,8180.52,5048.2
"Jamaica",13220549908.2494,2733896,22.27,0.79
"Jamaica",14444661522.1463,2746169,26.62,1.62
"Jamaica",14807086555.5283,2759817,29.68,2.37
"Jamaica",14264205152.6126,2773129,36.2,0.9
"Jamaica",13899217679.9219,2784543,37.77,1.78
"Jamaica",14188936918.0036,2794445,40.19,1.55
"Jamaica",14077096676.6213,2802695,42.97,1.18
