"country","gdp","population","export","import"
"Armenia",12641698583.2152,2805608,69.78,96.46
"Armenia",13878908628.9378,2790974,27.45,134.86
"Aruba",2453597206.70391,100341,1.49,1.92
"Aruba",2637859217.87709,101288,2.66,0.1
"Aruba",2615208379.88827,102112,2.85,0.23
"Aruba",2727849720.67039,102880,3.29,0.13
"Aruba",2790849720.67039,103594,3.88,0.03
"Aruba",2962907262.56983,104257,6.92,0.29
"Aruba",2983635195.53073,104874,7.88,4.27
"Aruba",3092429050.27933,105439,6.41,0.4
"Aruba",3276184357.5419,105962,9.63,0.55
"Aruba",3395798882.68156,106442,9.88,0.31
"Aruba",2558906303.88098,106585,2.76,0.81
"Aruba",3103184101.51354,106537,6.2,1.77
"Australia",1148890200292.42,22031750,1712.8,10788.94
"Australia",1398701323029.63,22340024,2476.6,15578.41
"Australia",1547649835732.89,22733465,2348.37,13085.57
"Australia",1577301840200.01,23128129,2300.03,9822.38
"Australia",1468597690006.22,23475686,2781.9,10247.14
"Australia",1351768945139.11,23815995,3262.74,8898.74
"Australia",1207580901578.72,24190907,2957.56,11154.37
"Australia",1326882104817,24592588,4012.07,13993.62
"Australia",1429733668185.91,24963258,3520.22,13131.07
"Australia",1394671325960.57,25334826,2851.9,9782.05
"Australia",1330381544909.3,25649248,4043.63,8247.19
"Australia",1559033756285.13,25685412,8282.86,16756.05
"Austria",392275107258.667,8363404,593.6,816.99
"Austria",431685217367.511,8391643,341.76,1081.01
"Austria",409401816050.531,8429991,328.52,929.08
"Austria",430190979705.962,8479823,336.35,828.69
"Austria",442584815286.034,8546356,363.03,815.83
"Austria",381971148530.543,8642699,339.71,827
"Austria",395837353031.499,8736668,383.08,908.24
"Austria",417261151844.977,8797566,459.97,973.2
"Austria",454991174096.102,8840521,483.07,716.32
"Austria",444596155845.254,8879920,455.53,629.6
"Austria",435049316955.737,8916864,452.96,622.96
"Austria",479295362747.047,8955797,564.21,824.95
"Azerbaijan",52909294791.9262,9054332,38.6,203.48
"Azerbaijan",65952796427.9473,9173082,71.58,675
"Azerbaijan",69679944504.1972,9295784,87.15,521.4
"Azerbaijan",74160560123.6902,9416801,123.85,1136.83
"Azerbaijan",75239785452.1022,9535079,110.4,198.53
"Azerbaijan",53076235354.746,9649341,33.35,77.1
"Azerbaijan",37866996882.9157,9757812,40.25,461.67
"Azerbaijan",40866627351.9817,9854033,33.63,592.61
"Azerbaijan",47112470051.7701,9939771,43.39,147.88
"Azerbaijan",48174235294.1176,10024283,53.18,273.9
"Azerbaijan",4.2693e+10,10093121,50.78,229.06
"Azerbaijan",54825411764.7059,10137750,36.38,104.81
"Bahamas, The",10095760000,373272,2824.9,645.75
"Bahamas, The",10070450000,377950,2683.32,909.44
"Bahamas, The",10720500000,382061,3273.21,766.88
"Bahamas, The",10395800000,385650,867.21,1057.42
"Bahamas, The",10974100000,389131,596.36,446.89
"Bahamas, The",11671900000,392697,665.88,434.1
"Bahamas, The",11745100000,395976,477.44,549.5
"Bahamas, The",12236700000,399020,564.74,471.33
"Bahamas, The",12615800000,401906,748.06,578.84
"Bahamas, The",13016200000,404557,619.4,436.16
"Bahamas, The",9958200000,406471,532.63,583.32
"Bahamas, The",11368900000,407906,907.77,756.78
"Bangladesh",115275540861.36,148391139,3242.74,446.7
"Bangladesh",128607482927.468,150211005,3788.96,585.73
"Bangladesh",133310747047.528,152090649,5144.75,639.31
"Bangladesh",149998957327.029,154030139,6166.65,484.29
"Bangladesh",172886611131.255,155961299,6451.21,621.34
"Bangladesh",195146607942.291,157830000,6034.65,727.12
"Bangladesh",265224514652.992,159784568,6819.82,701.64
"Bangladesh",293732447017.328,161793964,8614.1,685.59
"Bangladesh",321362751137.574,163683958,9209.76,1044.72
"Bangladesh",351231655150.827,165516222,8200.42,1264.69
"Bangladesh",373979442653.343,167420951,9691.26,1091.62
"Bangladesh",416271647002.435,169356251,16156.04,1977.87
"Barbados",4534772750,274711,5.46,0.15
"Barbados",4662343500,275486,7.54,0.78
"Barbados",4622687600,276197,5.84,0.09
"Barbados",4693452700,276865,6.4,0.12
"Barbados",4711838650,277493,10.17,0.17
"Barbados",4738650450,278083,10.51,0.16
"Barbados",4848210350,278649,12.32,0.17
"Barbados",5000457800,279187,12.73,0.2
